------------------------------------------------------------------------------------------------------------------------
Best parameters found:
 {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.849 (+/-0.005) for {'activation': 'tanh', 'hidden_layer_sizes': 6, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.847 (+/-0.006) for {'activation': 'tanh', 'hidden_layer_sizes': 6, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.849 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 6, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.849 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 6, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.754 (+/-0.019) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.765 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.847 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.852 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.847 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.848 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.848 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.849 (+/-0.007) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.847 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.849 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.750 (+/-0.026) for {'activation': 'tanh', 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
